"filename", "language", "Markdown", "JavaScript", "JSON", "HTML", "JavaScript JSX", "XML", "CSS", "comment", "blank", "total"
"c:\Users\mjrou\translator\frontend\README.md", "Markdown", 5, 0, 0, 0, 0, 0, 0, 0, 4, 9
"c:\Users\mjrou\translator\frontend\eslint.config.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\mjrou\translator\frontend\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\mjrou\translator\frontend\package-lock.json", "JSON", 0, 0, 5755, 0, 0, 0, 0, 0, 1, 5756
"c:\Users\mjrou\translator\frontend\package.json", "JSON", 0, 0, 36, 0, 0, 0, 0, 0, 1, 37
"c:\Users\mjrou\translator\frontend\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\mjrou\translator\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\mjrou\translator\frontend\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mjrou\translator\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 3, 29
"c:\Users\mjrou\translator\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\mjrou\translator\frontend\src\components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 3, 51
"c:\Users\mjrou\translator\frontend\src\components\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 61, 0, 0, 0, 4, 65
"c:\Users\mjrou\translator\frontend\src\components\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 311, 0, 0, 6, 20, 337
"c:\Users\mjrou\translator\frontend\src\contexts\ThemeContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 23, 0, 0, 1, 6, 30
"c:\Users\mjrou\translator\frontend\src\hooks\useFetch.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\mjrou\translator\frontend\src\hooks\useTranslationHistory.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 7, 39
"c:\Users\mjrou\translator\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\mjrou\translator\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\mjrou\translator\frontend\src\pages\About.jsx", "JavaScript JSX", 0, 0, 0, 0, 68, 0, 0, 0, 6, 74
"c:\Users\mjrou\translator\frontend\src\pages\LandingPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 87, 0, 0, 0, 7, 94
"c:\Users\mjrou\translator\frontend\src\services\apiService.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\mjrou\translator\frontend\tailwind.config.js", "JavaScript", 0, 64, 0, 0, 0, 0, 0, 1, 2, 67
"c:\Users\mjrou\translator\frontend\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 5, 176, 5791, 13, 633, 2, 3, 9, 80, 6712